"nm" "nmqm" "wfl" "rooms" "bj" "bez" "wohngut" "wohnbest" "ww0" "zh0" "badkach0" "badextra" "kueche"
590 9.67 61 2 1972 "Pasing-Obermenzing" 0 0 0 0 1 0 0
900 14.29 63 3 1957.5 "Sendling-Westpark" 0 0 0 0 0 0 1
388 4.26 91 4 1918 "Obergiesing" 0 0 0 1 1 0 0
390 12.58 31 1 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
1020 14.57 70 3 1983 "Schwabing West" 1 0 0 0 1 0 1
700 9.33 75 3 1957.5 "Ramersdorf-Perlach" 1 0 0 0 1 0 0
708.92 5.45 130 5 1918 "Sendling" 0 0 0 0 1 0 0
307 5.2 59 2 1957.5 "Sendling" 0 0 0 0 1 0 0
1150 11.5 100 4 1918 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
555 11.33 49 2 1918 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
374.37 4.93 76 3 1924 "Neuhausen-Nymphenburg" 1 0 0 1 1 0 0
424.33 6.43 66 3 1924 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
433.65 7.88 55 2 1939 "Untergiesing" 0 0 0 0 1 0 0
474 6.58 72 2 1918 "Untergiesing" 0 0 0 1 0 0 0
659.69 7.95 83 3 1972 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
770 9.63 80 3 2000.5 "Ramersdorf-Perlach" 1 0 0 0 1 1 1
520 8.52 61 3 1957.5 "Berg am Laim" 0 0 0 0 1 0 0
1080 12.86 84 3 1983 "Berg am Laim" 0 0 0 0 1 0 1
800 12.31 65 3 1957.5 "Ramersdorf-Perlach" 0 0 0 0 1 0 1
690 11.13 62 3 1983 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
705 10.68 66 3 1957.5 "Moosach" 0 0 0 0 0 0 0
1250 11.9 105 3 1992.5 "Moosach" 0 0 0 0 1 1 0
968.03 10.76 90 4 1924 "Au-Haidhausen" 1 0 0 0 1 0 0
735.5 9.81 75 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
782 9.78 80 4 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
637 12.74 50 2 1939 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
792 9 88 2 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 1 0 0
995 10.26 97 4 1957.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
687.33 9.16 75 3 1924 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
744 6.2 120 4 1924 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 1 0
650 10.48 62 2 1918 "Sendling" 0 0 0 0 1 0 1
416.48 10.68 39 1 1957.5 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 0
610 11.09 55 2 1983 "Moosach" 0 0 0 0 1 0 0
650 7.93 82 3 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
781.1 11.16 70 2 1918 "Au-Haidhausen" 1 0 0 0 1 1 1
607.01 9.95 61 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
1032 12.14 85 3 1972 "Sendling-Westpark" 1 0 0 0 1 0 1
750 12.1 62 2 1957.5 "Bogenhausen" 0 1 0 0 1 0 0
821.8 7.61 108 5 1939 "Milbersthofen-Am Hart" 0 0 0 0 1 1 0
997 10.17 98 4 1918 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
492 6 82 3 1924 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
372.98 5.49 68 2 1924 "Neuhausen-Nymphenburg" 0 0 0 1 0 0 0
476.23 7 68 3 1972 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
760 11.18 68 2 1939 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
447.39 9.32 48 2 1957.5 "Schwabing-Freimann" 1 0 0 0 0 0 0
411.16 5.96 69 3 1957.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
657.8 8.77 75 2 1918 "Neuhausen-Nymphenburg" 1 0 0 1 1 0 0
522.03 10.88 48 2 1972 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
1047.39 9.11 115 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
818.88 13.65 60 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 0 0 0
455.01 7.22 63 2 1924 "Au-Haidhausen" 0 0 0 1 1 0 0
848 9.86 86 3 2010 "Pasing-Obermenzing" 0 0 0 0 1 0 0
890 12.54 71 3 2006.5 "Pasing-Obermenzing" 0 0 0 0 1 0 1
727.74 9.33 78 3 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
440 5.3 83 3 1957.5 "Maxvorstadt" 1 0 0 0 0 0 0
525 9.72 54 2 1983 "Pasing-Obermenzing" 1 0 0 0 1 0 0
750 10 75 3 1918 "Pasing-Obermenzing" 1 0 0 0 1 1 0
445 13.91 32 1 1972 "Pasing-Obermenzing" 0 0 0 0 1 0 0
1095 12.3 89 3 1939 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
399.83 5.13 78 3 1918 "Au-Haidhausen" 1 0 1 1 1 0 0
697.37 7.66 91 4 1918 "Au-Haidhausen" 1 0 0 0 1 1 0
943 12.92 73 3 1957.5 "Schwabing West" 1 0 0 0 1 0 0
243.14 5.93 41 2 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1100 11.96 92 4 1924 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
820 10.51 78 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
610.08 11.73 52 2 1957.5 "Au-Haidhausen" 0 0 0 0 0 0 0
538 6.9 78 2 1972 "Obergiesing" 0 0 0 0 1 0 0
447.42 9.94 45 2 1939 "Untergiesing" 0 0 0 0 1 0 0
833 10.41 80 3 1918 "Maxvorstadt" 1 0 0 0 1 0 0
1045 11 95 3 1992.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
755 8.99 84 3 1918 "Au-Haidhausen" 1 0 0 1 1 1 0
391.37 8.15 48 2 1957.5 "Ramersdorf-Perlach" 0 0 0 1 0 0 0
736 11.32 65 2 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
450 8.33 54 2 1957.5 "Au-Haidhausen" 1 0 0 0 1 0 0
616 12.32 50 2 1939 "Sendling" 0 0 0 0 0 0 0
769.39 12.02 64 3 1957.5 "Berg am Laim" 0 0 0 0 1 0 0
658.36 8.78 75 3 1924 "Au-Haidhausen" 0 0 0 0 0 0 0
504.31 10.51 48 2 1924 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
765 12.97 59 2 1957.5 "Maxvorstadt" 1 0 0 0 1 0 1
620.6 9.55 65 2 1983 "Maxvorstadt" 1 0 0 0 1 0 0
353.19 5.61 63 3 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
509.77 6.62 77 4 1957.5 "Ramersdorf-Perlach" 0 0 0 0 0 0 0
631 10.88 58 2 1972 "Laim" 0 0 0 0 1 0 0
606 10.45 58 2 1972 "Moosach" 0 0 0 0 1 0 1
700 8.05 87 3 1983 "Pasing-Obermenzing" 0 0 0 0 1 1 0
550 10 55 2 2006.5 "Allach-Untermenzing" 0 0 0 0 1 0 1
259 6.02 43 2 1924 "Thalkirchen..." 0 0 0 0 1 0 0
550 11.22 49 3 1918 "Thalkirchen..." 1 0 0 0 0 0 0
445.32 6.55 68 3 1972 "Sendling-Westpark" 0 0 0 1 0 0 0
247 5.74 43 2 1957.5 "Thalkirchen..." 0 0 0 0 1 0 0
1080 11.49 94 2 1918 "Au-Haidhausen" 0 1 0 0 1 0 0
1533.59 10.22 150 5 1918 "Au-Haidhausen" 1 0 0 0 1 1 0
945 9.45 100 4 1957.5 "Schwabing West" 1 0 0 0 1 0 0
445.91 5.87 76 3 1939 "Au-Haidhausen" 1 0 0 0 0 0 0
720.05 10.29 70 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
769 8.27 93 4 1957.5 "Obergiesing" 0 0 0 0 1 1 0
1250 13.16 95 3 1972 "Untergiesing" 0 1 0 0 1 1 0
572 7.73 74 2 1924 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
600 11.76 51 2 1957.5 "Laim" 0 0 0 0 0 0 0
610 9.24 66 2 1983 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
502 6.88 73 3 1939 "Neuhausen-Nymphenburg" 0 0 0 0 0 0 0
487.57 7.99 61 2 1972 "Untergiesing" 0 0 0 0 1 0 0
408.1 6 68 3 1957.5 "Au-Haidhausen" 1 0 0 0 1 0 0
660 11 60 2 1957.5 "Schwabing-Freimann" 1 0 0 0 0 0 1
1750 16.06 109 3 1918 "Schwabing-Freimann" 1 0 0 0 1 0 0
333 10.74 31 1 1972 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
415.26 11.54 36 1 1972 "Sendling" 0 0 0 0 1 0 0
1298 11.59 112 4 1924 "Schwabing West" 1 0 0 0 1 0 0
570 14.25 40 2 1972 "Schwabing-Freimann" 1 0 0 0 1 0 1
211.93 4.93 43 2 1939 "Milbersthofen-Am Hart" 0 0 0 1 0 0 0
990 13.2 75 3 1957.5 "Schwabing West" 0 0 0 0 1 0 1
1050 12.5 84 3 1957.5 "Schwabing West" 1 0 0 0 1 0 0
216.36 3.61 60 2 1918 "Neuhausen-Nymphenburg" 0 0 0 1 1 0 0
770 9.28 83 4 1957.5 "Laim" 1 0 0 0 1 0 1
370 7.55 49 2 1939 "Untergiesing" 0 0 0 1 0 0 0
353.14 5.89 60 3 1972 "Laim" 0 0 0 0 1 0 0
618.17 8.83 70 3 1918 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
1050 14.38 73 3 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
390 14.44 27 1 1972 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 1
726.61 7.57 96 4 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
382.04 5.7 67 2 1918 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
315.69 5.85 54 2 1924 "Schwabing West" 0 0 1 1 1 0 0
555 7.5 74 3 1957.5 "Sendling-Westpark" 0 0 0 0 0 0 0
1040 11.82 88 4 1918 "Au-Haidhausen" 0 0 0 0 1 0 0
410 6.83 60 2 1957.5 "Allach-Untermenzing" 0 0 0 0 1 0 0
624.55 7.91 79 3 1972 "Sendling-Westpark" 0 0 0 0 0 0 0
730 14.6 50 2 1972 "Sendling-Westpark" 0 0 0 0 1 0 0
634.63 9.92 64 2 1939 "Thalkirchen..." 1 0 0 0 0 0 0
640 11.85 54 2 1957.5 "Sendling" 0 0 0 0 1 0 1
303.05 6.31 48 2 1939 "Obergiesing" 0 0 0 0 0 0 0
329 7.15 46 2 1957.5 "Untergiesing" 0 0 0 0 1 0 0
763 20.62 37 1 1983 "Berg am Laim" 0 0 0 0 1 0 0
760 12.06 63 3 1957.5 "Moosach" 0 0 0 0 1 0 0
1200 13.04 92 4 1992.5 "Au-Haidhausen" 1 0 0 0 1 0 0
685 9.38 73 3 1972 "Obergiesing" 0 0 0 0 1 0 0
1242.4 8.57 145 5 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
850 11.33 75 3 1983 "Thalkirchen..." 1 0 0 0 1 1 1
920 11.22 82 3 1957.5 "Sendling" 1 0 0 0 1 0 1
428 8.56 50 2 1918 "Schwanthalerhöhe" 0 0 0 0 1 0 0
1590 16.74 95 3 1939 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 1 0
415 10.38 40 2 1972 "Schwanthalerhöhe" 0 0 0 0 1 0 0
946 11 86 2 1957.5 "Maxvorstadt" 1 0 0 1 1 0 0
990 7.86 126 4 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
872 12.46 70 2 1957.5 "Sendling" 0 0 0 1 1 0 0
1706.24 12.64 135 5 1939 "Sendling" 0 0 0 1 1 0 0
1245.07 13.39 93 3 1918 "Sendling" 0 0 0 0 1 0 1
975 15.73 62 2 1957.5 "Au-Haidhausen" 1 0 0 0 1 0 1
581.43 6.92 84 3 1957.5 "Au-Haidhausen" 1 0 1 1 1 0 0
400 6.67 60 3 1972 "Berg am Laim" 0 0 0 0 1 0 0
621.09 6.09 102 4 1924 "Pasing-Obermenzing" 1 0 0 0 1 1 0
850 8.33 102 3 1972 "Berg am Laim" 0 0 0 0 1 1 0
590 10.17 58 2 1957.5 "Untergiesing" 0 0 0 0 1 0 1
523.35 6.16 85 3 1918 "Schwanthalerhöhe" 0 0 0 0 1 0 0
666.8 9.53 70 3 1992.5 "Au-Haidhausen" 1 0 0 0 1 0 0
849 12.49 68 3 1939 "Bogenhausen" 1 0 0 0 1 0 0
1735 18.46 94 3 1957.5 "Bogenhausen" 0 0 0 0 1 1 0
613 8.28 74 3 1939 "Neuhausen-Nymphenburg" 0 0 0 0 0 0 0
700 10 70 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
384 7.68 50 2 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
657.29 7.82 84 4 1957.5 "Laim" 0 0 0 0 1 0 0
480 12.63 38 1 1918 "Schwanthalerhöhe" 0 0 0 0 1 0 0
1060 10 106 5 1983 "Fledmoching-Hasenbergel" 0 0 0 0 1 1 0
589 9.06 65 3 1957.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
528.76 9.28 57 2 1939 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
900 15 60 3 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 1
650.25 8.56 76 3 1939 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
653.38 12.56 52 2 1957.5 "Schwabing West" 1 0 0 0 1 0 0
849 9.76 87 4 1957.5 "Schwabing West" 1 0 0 0 0 0 0
875 14.34 61 2 2010 "Maxvorstadt" 1 0 0 0 1 0 0
680 10.79 63 2 1992.5 "Schwabing-Freimann" 0 0 0 0 1 0 1
780 11.47 68 3 1992.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
343 7 49 3 1957.5 "Neuhausen-Nymphenburg" 1 0 0 1 0 0 0
950 11.05 86 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
900 10 90 3 1957.5 "Bogenhausen" 1 0 0 0 1 1 0
657.34 8.12 81 3 1957.5 "Bogenhausen" 1 0 0 0 1 0 0
310.18 3.2 97 4 1924 "Au-Haidhausen" 1 0 0 0 1 0 0
1040 8.67 120 4 1918 "Untergiesing" 0 0 0 1 1 0 0
1124 11.96 94 4 1992.5 "Sendling" 0 0 0 0 1 0 0
790 12.95 61 2 1957.5 "Au-Haidhausen" 0 0 0 1 1 0 0
1020 11.72 87 3 1992.5 "Allach-Untermenzing" 0 0 0 0 1 0 1
398 8.12 49 2 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
780 12.38 63 3 2012.5 "Schwabing-Freimann" 0 0 0 0 1 0 1
750 9.74 77 3 1992.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 1 1
640 7.27 88 3 1972 "Sendling" 0 0 0 1 1 0 0
995 14.63 68 2 2000.5 "Pasing-Obermenzing" 1 0 0 0 1 0 0
840 11.05 76 3 1957.5 "Sendling" 0 0 0 0 1 0 0
798.95 8.41 95 3 1918 "Sendling" 0 0 0 1 0 0 0
518.35 7.41 70 3 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 0 0 0
368 5.58 66 2 1983 "Pasing-Obermenzing" 1 0 0 0 1 0 0
650 10.83 60 2 1972 "Trudering-Riem" 1 0 0 0 1 0 0
1500 18.07 83 3 1957.5 "Maxvorstadt" 1 0 0 0 1 0 1
490 12.25 40 1 1957.5 "Maxvorstadt" 0 0 0 0 1 0 0
499 7.8 64 3 1957.5 "Obergiesing" 0 0 0 0 0 0 0
386 7.15 54 2 1957.5 "Obergiesing" 0 0 0 0 0 0 0
468.28 6 78 2 1939 "Sendling" 0 0 0 0 1 0 0
448 6.22 72 2 1924 "Sendling" 0 0 0 0 1 0 0
1000 12.35 81 4 1957.5 "Schwabing-Freimann" 1 0 0 0 1 1 0
514 10.49 49 2 1957.5 "Untergiesing" 0 0 0 0 1 0 0
698.1 9.97 70 3 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
1100 12.22 90 3 1918 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 0
800 8.51 94 3 1918 "Au-Haidhausen" 0 0 0 0 1 1 0
715 11.17 64 2 1983 "Thalkirchen..." 0 0 0 0 1 0 0
854.49 12.38 69 3 1957.5 "Neuhausen-Nymphenburg" 0 1 0 0 1 0 0
443.63 7.52 59 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 1 1 0 0
738.4 6.21 119 4 1918 "Schwanthalerhöhe" 0 0 0 0 0 0 0
440 11 40 2 1957.5 "Laim" 1 0 0 0 0 0 0
784 14 56 2 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
1070 12.74 84 3 1924 "Schwanthalerhöhe" 0 0 0 0 1 0 0
453 8.39 54 2 1939 "Schwabing-Freimann" 0 0 0 0 0 0 0
645 8.06 80 4 1957.5 "Schwabing-Freimann" 1 0 0 0 0 0 0
500 17.24 29 1 1957.5 "Schwabing West" 1 0 0 0 1 0 0
695.07 9.52 73 3 1957.5 "Bogenhausen" 1 0 0 0 1 0 0
237 4.74 50 2 1939 "Neuhausen-Nymphenburg" 0 1 0 0 1 0 0
1300 9.42 138 4 1918 "Maxvorstadt" 1 0 0 0 0 0 0
670 11.96 56 2 1957.5 "Schwabing West" 1 0 0 0 1 0 0
721 10.3 70 3 1918 "Maxvorstadt" 1 0 0 0 1 0 0
798.87 9.18 87 3 1939 "Schwabing West" 1 0 0 0 1 0 0
630 10 63 3 1957.5 "Maxvorstadt" 1 0 0 0 0 0 1
479.38 6.23 77 3 1924 "Moosach" 0 0 0 0 1 0 0
738.8 5.68 130 4 1918 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1360 12.48 109 4 1972 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1343.3 8.34 161 5 1918 "Schwabing-Freimann" 1 0 0 0 1 1 0
515.25 7.93 65 2 1957.5 "Schwabing West" 1 0 0 0 1 0 0
740 9.87 75 2 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 0
725 11.15 65 2 1957.5 "Sendling" 0 0 0 0 1 0 0
371 5.8 64 3 1939 "Sendling-Westpark" 0 0 0 0 1 0 0
901.4 11.27 80 3 1918 "Au-Haidhausen" 1 0 0 0 1 0 1
483.21 6.44 75 3 1939 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
540 11.02 49 2 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 1
1375 13.1 105 4 1918 "Altstadt-Lehel" 1 0 0 0 1 0 0
510 10 51 2 1972 "Obergiesing" 0 0 0 0 1 0 0
416.64 5.02 83 2 1924 "Obergiesing" 0 0 0 0 1 0 0
212.93 3.94 54 2 1939 "Schwabing West" 1 0 0 1 1 0 0
1057 13.38 79 3 1972 "Schwabing West" 1 0 0 0 1 0 0
392 15.68 25 1 1957.5 "Maxvorstadt" 0 0 0 0 1 0 0
822 9.67 85 3 1983 "Au-Haidhausen" 1 0 0 1 1 0 0
851 10.51 81 4 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
327.77 4.68 70 3 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
590 7.56 78 3 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
623 11.98 52 2 1957.5 "Altstadt-Lehel" 1 0 0 0 1 0 0
800 11.76 68 3 1939 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
690.46 8.42 82 3 1957.5 "Obergiesing" 0 0 0 0 1 0 0
448 7.72 58 2 1939 "Untergiesing" 0 0 0 0 1 0 0
616 8.44 73 4 1992.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
785 9.69 81 3 1939 "Fledmoching-Hasenbergel" 0 0 0 0 0 0 0
848 9.75 87 4 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 0 0 0
600 8.96 67 2 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 1
1011 14.04 72 2 1957.5 "Maxvorstadt" 1 0 0 0 0 0 0
1361 10.98 124 4 1957.5 "Untergiesing" 0 1 0 0 1 0 0
374.39 7.2 52 2 1957.5 "Moosach" 0 0 0 0 0 0 0
720 10.43 69 3 1972 "Moosach" 0 0 0 0 1 0 0
563 7.93 71 3 1957.5 "Moosach" 0 0 0 0 1 0 0
283 6.74 42 2 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 0 0 0
282.36 7.24 39 1 1972 "Aubing..." 0 0 0 1 1 0 1
474.82 6.33 75 3 1957.5 "Au-Haidhausen" 1 0 1 1 0 0 0
314 5.61 56 2 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
1635 15.42 106 4 1957.5 "Bogenhausen" 0 1 0 0 1 1 1
840 9.88 85 4 1918 "Au-Haidhausen" 0 0 0 0 1 0 0
795 13.25 60 2 1957.5 "Trudering-Riem" 1 0 0 0 0 0 0
603.65 12.07 50 2 2000.5 "Sendling" 1 0 0 0 1 0 1
741 10.01 74 2 2000.5 "Aubing..." 0 0 0 0 1 0 1
566 10.29 55 2 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
420 7.12 59 2 1957.5 "Sendling" 0 0 0 0 1 0 0
996 10.48 95 5 1957.5 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 0
887 11.83 75 3 1924 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 1
551 9.5 58 3 1972 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 1 0 0
515 10.96 47 2 1939 "Thalkirchen..." 0 0 0 0 1 0 1
548 13.05 42 2 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 0 0 0
485 13.11 37 1 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
649.87 8.66 75 3 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
600 8.7 69 3 1957.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
990 11.79 84 4 1939 "Schwabing-Freimann" 0 0 0 0 1 1 0
460.37 6.48 71 3 1972 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1219 11.18 109 5 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 1
771.42 9.76 79 3 1918 "Au-Haidhausen" 0 0 0 1 1 0 0
503.03 10.27 49 2 1957.5 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
614.65 6.03 102 6 1939 "Berg am Laim" 0 0 0 0 0 0 0
790 12.54 63 3 1957.5 "Berg am Laim" 0 0 0 0 1 0 0
500 10.2 49 2 1957.5 "Schwabing-Freimann" 0 0 0 0 0 0 0
575 9.43 61 3 2012.5 "Bogenhausen" 1 0 0 0 1 0 1
593.94 10.42 57 3 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
544.48 9.39 58 2 1924 "Obergiesing" 0 0 0 0 0 0 0
850 8.85 96 4 1939 "Bogenhausen" 1 0 0 0 1 1 0
920 12.27 75 3 1983 "Schwabing-Freimann" 1 0 0 0 1 0 0
580 11.84 49 2 1992.5 "Moosach" 0 0 0 0 1 0 1
343.99 6.37 54 3 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 0 0 0
422 6.39 66 3 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
379.28 4.41 86 4 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
533.9 8.9 60 2 1939 "Laim" 1 0 0 0 1 0 1
400 16.67 24 1 1957.5 "Schwabing-Freimann" 1 0 0 0 0 0 1
1052.8 10.32 102 4 1972 "Untergiesing" 0 1 0 0 1 1 0
333 5.46 61 3 1924 "Untergiesing" 0 0 0 1 0 0 0
825 10.86 76 3 1972 "Ramersdorf-Perlach" 1 0 0 0 1 0 1
580 9.21 63 2 1918 "Berg am Laim" 0 0 0 0 1 0 0
1783 8.83 202 4 1918 "Altstadt-Lehel" 0 0 0 0 1 0 0
1341.7 12.9 104 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 1 0
680 10.46 65 2 1957.5 "Au-Haidhausen" 1 0 0 0 1 0 1
590 9.83 60 2 1957.5 "Untergiesing" 0 0 0 0 0 0 0
1810 12.07 150 5 1918 "Maxvorstadt" 1 0 0 0 1 1 0
1000 9.71 103 4 1992.5 "Aubing..." 0 0 0 0 1 1 0
550 7.86 70 3 1939 "Milbersthofen-Am Hart" 0 0 0 0 1 1 0
646.8 8.51 76 3 1939 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
648.47 6.69 97 5 1972 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
440 10.23 43 2 1918 "Schwabing-Freimann" 1 0 0 1 1 0 0
588 7.74 76 3 1924 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
420 12 35 1 1924 "Au-Haidhausen" 1 0 0 0 1 0 1
735 11.48 64 1 2000.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
900 12.16 74 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
702.3 12.32 57 3 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
852 6.17 138 4 1918 "Altstadt-Lehel" 0 1 0 0 1 0 0
541.99 10.84 50 2 1957.5 "Altstadt-Lehel" 0 1 0 0 1 0 0
1320 11 120 4 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 1 1
648.57 10.13 64 2 1939 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
1005 11.96 84 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
980 14.85 66 4 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1804.09 10.61 170 4 1918 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 1
764 7.88 97 4 1918 "Altstadt-Lehel" 0 1 0 0 1 0 0
980 11.14 88 3 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
1220 15.06 81 3 1939 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
700 12.5 56 2 1957.5 "Sendling" 0 0 0 0 1 1 0
399.64 5.47 73 3 1924 "Sendling-Westpark" 0 0 0 0 1 0 0
770 10 77 3 1918 "Maxvorstadt" 0 0 0 0 1 0 0
1240 16.1 77 3 1957.5 "Schwabing West" 1 0 0 0 1 0 1
745 12.42 60 2 1918 "Obergiesing" 0 0 0 1 0 0 0
800 8.51 94 4 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
810 7.36 110 4 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 1 0
271.9 5.04 54 2 1983 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
629 13.1 48 2 1957.5 "Aubing..." 0 0 0 0 1 0 1
517.75 11.51 45 1 1918 "Moosach" 0 0 0 0 1 0 0
555.5 11.82 47 2 1972 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
850 8.5 100 4 1957.5 "Thalkirchen..." 1 0 0 0 1 0 0
731.5 9.89 74 4 1957.5 "Thalkirchen..." 1 0 0 0 0 0 0
502.76 6.62 76 3 1918 "Bogenhausen" 1 0 0 1 1 0 1
738 8.79 84 3 1983 "Berg am Laim" 0 0 0 0 1 1 0
743.1 11.43 65 3 1983 "Maxvorstadt" 1 0 0 0 1 0 0
